Worker Name,Activity Type,Item Name,Total Quantity,Total Amount
"Adalberto Ideal","Misc Items Taken Out","common_portion_pig",8,0
"Adhine Kenway","Plants Deposited","Bulrush",500,0
"Adhine Kenway","Plants Deposited","sacodemilho22",50,0
"Adhine Kenway","Plants Deposited","corn",2000,0
"Adhine Kenway","Plants Taken Out","Bay_Bolete_Seed",250,0
"Adhine Kenway","Plants Taken Out","sacodemilho22",50,0
"Adhine Kenway","Plants Taken Out","Bulrush_Seed",100,0
"Adhine Kenway","Plants Taken Out","semente_trigo",100,0
"Adhine Kenway","Plants Taken Out","cornseed",200,0
"Adonis Bezerra","Plants Deposited","corn",1200,0
"Adonis Bezerra","Plants Deposited","cornseed",79,0
"Adonis Bezerra","Plants Taken Out","cornseed",200,0
"Adonis Bezerra","Plants Taken Out","corn",550,0
"Adonis Bezerra","Misc Items Taken Out","common_portion_donkey",8,0
"Adonis Bezerra","Misc Items Taken Out","common_portion_goat",4,0
"Adonis Bezerra","Misc Items Taken Out","common_portion_pig",8,0
"Adonis Bezerra","Misc Items Taken Out","common_portion",4,0
"Ale Beckham","Plants Deposited","trigo",1410,0
"Ale Beckham","Plants Deposited","Bulrush",1210,0
"Ale Beckham","Plants Deposited","corn",190,0
"Ale Beckham","Plants Taken Out","semente_trigo",158,0
"Ale Beckham","Plants Taken Out","Bulrush_Seed",153,0
"Ale Beckham","Plants Taken Out","cornseed",19,0
"Ale Beckham","Misc Items Taken Out","hoe",1,0
"Ale Beckham","Misc Items Taken Out","planttrimmer",1,0
"Ale Beckham","Misc Items Taken Out","frangocaipira",3,0
"Ale Beckham","Misc Items Taken Out","saladadefruta",5,0
"Ale Beckham","Misc Items Taken Out","Cigarett",2,0
"Ale Beckham","Misc Items Taken Out","sucodepeach",2,0
"Alexsander Costa","Plants Deposited","corn",500,0
"Alexsander Costa","Plants Deposited","trigo",1010,0
"Alexsander Costa","Plants Taken Out","cornseed",50,0
"Alexsander Costa","Plants Taken Out","semente_trigo",100,0
"Alexsander Costa","Misc Items Taken Out","planttrimmer",1,0
"Alexsander Costa","Misc Items Taken Out","arado",2,0
"Alexsander Costa","Misc Items Taken Out","goat_male",4,0
