Worker Name,Transaction Type,Category,Item Name,Quantity,Amount,Timestamp,Message Content,Confidence
"Notorius Bowdin","Withdrawal","Miscellaneous","sugar",50,0,"2025-09-02T06:41:26.753Z","","high"
"Notorius Bowdin","Deposit","Miscellaneous","sugar",50,0,"2025-09-02T06:41:28.463Z","","high"
"Notorius Bowdin","Deposit","Miscellaneous","outfit",2,0,"2025-09-02T06:41:33.532Z","","high"
"Notorius Bowdin","Withdrawal","Plants","Bulrush",50,0,"2025-09-02T06:44:12.238Z","","high"
"Notorius Bowdin","Withdrawal","Plants","trigo",50,0,"2025-09-02T06:44:22.024Z","","high"
"Notorius Bowdin","Withdrawal","Plants","corn",100,0,"2025-09-02T06:44:27.158Z","","high"
"Cliff Dillimore","Deposit","Money","Money",0,675,"2025-09-02T07:11:38.187Z","","high"
"Cliff Dillimore","Withdrawal","Plants","corn",200,0,"2025-09-02T07:26:00.080Z","","high"
"Cliff Dillimore","Deposit","Plants","corn",200,0,"2025-09-02T07:26:03.528Z","","high"
"Cliff Dillimore","Withdrawal","Plants","Bulrush",100,0,"2025-09-02T07:26:36.589Z","","high"
"Cliff Dillimore","Withdrawal","Plants","corn",200,0,"2025-09-02T07:26:42.335Z","","high"
"Cliff Dillimore","Withdrawal","Plants","trigo",100,0,"2025-09-02T07:26:46.720Z","","high"
"Cliff Dillimore","Withdrawal","Boxes","caixarustica",10,0,"2025-09-02T07:26:52.636Z","","high"
"Cliff Dillimore","Withdrawal","Plants","Bulrush",100,0,"2025-09-02T07:27:46.423Z","","high"
"Cliff Dillimore","Withdrawal","Plants","Bulrush",150,0,"2025-09-02T07:27:52.509Z","","high"
"Cliff Dillimore","Withdrawal","Plants","trigo",100,0,"2025-09-02T07:27:55.805Z","","high"
"Cliff Dillimore","Withdrawal","Plants","trigo",10,0,"2025-09-02T07:27:58.193Z","","high"
"Cliff Dillimore","Withdrawal","Plants","trigo",140,0,"2025-09-02T07:28:00.893Z","","high"
"Cliff Dillimore","Withdrawal","Plants","corn",200,0,"2025-09-02T07:28:23.046Z","","high"
"Cliff Dillimore","Withdrawal","Plants","corn",200,0,"2025-09-02T07:28:25.687Z","","high"
"Cliff Dillimore","Withdrawal","Plants","corn",100,0,"2025-09-02T07:28:29.124Z","","high"
"Cliff Dillimore","Withdrawal","Plants","Bulrush",200,0,"2025-09-02T07:29:27.170Z","","high"
"Cliff Dillimore","Withdrawal","Plants","Bulrush",50,0,"2025-09-02T07:29:30.698Z","","high"
"Cliff Dillimore","Withdrawal","Plants","trigo",200,0,"2025-09-02T07:29:32.533Z","","high"
"Cliff Dillimore","Withdrawal","Plants","trigo",50,0,"2025-09-02T07:29:34.961Z","","high"
"Cliff Dillimore","Withdrawal","Plants","corn",200,0,"2025-09-02T07:30:01.133Z","","high"
"Cliff Dillimore","Withdrawal","Plants","corn",200,0,"2025-09-02T07:30:03.378Z","","high"
"Cliff Dillimore","Withdrawal","Plants","corn",100,0,"2025-09-02T07:30:05.958Z","","high"
"Chris Rubble","Deposit","Miscellaneous","chicken_female",8,0,"2025-09-02T08:25:13.282Z","","high"
"Chris Rubble","Deposit","Miscellaneous","sheep_female",4,0,"2025-09-02T08:25:23.185Z","","high"
"Chris Rubble","Withdrawal","Money","Money",0,160,"2025-09-02T08:31:34.643Z","","high"
"Chris Rubble","Withdrawal","Money","Money",0,675,"2025-09-02T08:38:05.990Z","","high"
"Beatriz Power","Withdrawal","Miscellaneous","chicken_female",8,0,"2025-09-02T08:41:03.801Z","","high"
"Beatriz Power","Withdrawal","Miscellaneous","sheep_female",4,0,"2025-09-02T08:41:29.912Z","","high"
"Zeca Trindade","Deposit","Plants","cornseed",200,0,"2025-09-02T11:10:19.780Z","","high"
"Zeca Trindade","Withdrawal","Miscellaneous","Carvao",200,0,"2025-09-02T13:11:05.403Z","","high"
"Zeca Trindade","Withdrawal","Miscellaneous","Carvao",200,0,"2025-09-02T13:11:11.819Z","","high"
"Zeca Trindade","Deposit","Miscellaneous","Carvao",174,0,"2025-09-02T13:13:14.752Z","","high"
"Notorius Bowdin","Deposit","Miscellaneous","chocolate",1,0,"2025-09-02T13:28:16.058Z","","high"
"Notorius Bowdin","Deposit","Miscellaneous","hoe",1,0,"2025-09-02T13:37:30.227Z","","high"
"Notorius Bowdin","Withdrawal","Miscellaneous","batatarecheada",1,0,"2025-09-02T13:37:35.350Z","","high"
"Beatriz Power","Withdrawal","Miscellaneous","hoe",1,0,"2025-09-02T16:29:30.380Z","","high"
"Beatriz Power","Withdrawal","Miscellaneous","common_portion_sheep",8,0,"2025-09-02T16:30:26.475Z","","high"
"Beatriz Power","Withdrawal","Miscellaneous","common_portion_chicken",16,0,"2025-09-02T16:30:47.996Z","","high"
"Bartholomeu Dias","Withdrawal","Plants","cornseed",100,0,"2025-09-02T16:35:20.682Z","","high"
"Bartholomeu Dias","Withdrawal","Miscellaneous","adubo3",100,0,"2025-09-02T16:35:27.679Z","","high"
"Beatriz Power","Withdrawal","Miscellaneous","wateringcan",10,0,"2025-09-02T16:43:21.961Z","","high"
"Bartholomeu Dias","Withdrawal","Money","Money",0,160,"2025-09-02T17:26:51.201Z","","high"
"Bartholomeu Dias","Withdrawal","Money","Money",0,160,"2025-09-02T18:02:15.546Z","","high"
"Bartholomeu Dias","Deposit","Plants","Bulrush_Seed",500,0,"2025-09-02T18:34:06.324Z","","high"
"Bartholomeu Dias","Deposit","Plants","cornseed",500,0,"2025-09-02T18:34:10.513Z","","high"
"Beatriz Power","Deposit","Plants","corn",500,0,"2025-09-02T18:49:33.663Z","","high"
"Notorius Bowdin","Deposit","Money","Money",0,2000,"2025-09-02T18:58:21.060Z","","high"
"Notorius Bowdin","Withdrawal","Money","Money",0,2000,"2025-09-02T18:58:25.851Z","","high"
"Beatriz Power","Withdrawal","Miscellaneous","common_portion_chicken",4,0,"2025-09-02T18:59:59.968Z","","high"
"Beatriz Power","Deposit","Miscellaneous","common_portion_chicken",4,0,"2025-09-02T19:02:08.876Z","","high"
"Beatriz Power","Withdrawal","Miscellaneous","common_portion_chicken",4,0,"2025-09-02T19:02:38.713Z","","high"
"Bartholomeu Dias","Withdrawal","Miscellaneous","common_portion_chicken",5,0,"2025-09-02T19:04:47.352Z","","high"
"Beatriz Power","Deposit","Plants","corn",500,0,"2025-09-02T19:06:10.836Z","","high"
"Notorius Bowdin","Withdrawal","Miscellaneous","Carvao",200,0,"2025-09-02T19:06:32.305Z","","high"
"Notorius Bowdin","Withdrawal","Miscellaneous","Carvao",100,0,"2025-09-02T19:07:18.770Z","","high"
"Notorius Bowdin","Withdrawal","Miscellaneous","Carvao",100,0,"2025-09-02T19:07:22.297Z","","high"
"Notorius Bowdin","Withdrawal","Miscellaneous","Carvao",100,0,"2025-09-02T19:07:24.598Z","","high"
"Notorius Bowdin","Deposit","Miscellaneous","Carvao",200,0,"2025-09-02T19:07:54.443Z","","high"
"Bartholomeu Dias","Withdrawal","Plants","cornseed",100,0,"2025-09-02T19:08:25.916Z","","high"
"Beatriz Power","Deposit","Plants","corn",460,0,"2025-09-02T19:12:43.667Z","","high"
"Beatriz Power","Deposit","Plants","Bulrush",10,0,"2025-09-02T19:13:19.061Z","","high"
"Beatriz Power","Withdrawal","Plants","cornseed",200,0,"2025-09-02T19:14:23.319Z","","high"
"Bartholomeu Dias","Deposit","Plants","cornseed",100,0,"2025-09-02T19:16:46.259Z","","high"
"Bartholomeu Dias","Withdrawal","Plants","Bulrush_Seed",100,0,"2025-09-02T19:21:35.240Z","","high"
"Bartholomeu Dias","Deposit","Plants","corn",70,0,"2025-09-02T20:13:27.614Z","","high"
"Bartholomeu Dias","Deposit","Miscellaneous","Crows_Garlic",20,0,"2025-09-02T20:13:29.689Z","","high"
"Bartholomeu Dias","Withdrawal","Money","Money",0,160,"2025-09-02T20:15:35.756Z","","high"
"Bartholomeu Dias","Deposit","Plants","Bulrush",320,0,"2025-09-02T20:17:08.966Z","","high"
"Bartholomeu Dias","Withdrawal","Plants","Bulrush_Seed",100,0,"2025-09-02T20:17:20.262Z","","high"
"Bartholomeu Dias","Withdrawal","Plants","Bulrush_Seed",55,0,"2025-09-02T20:17:27.931Z","","high"
"Beatriz Power","Withdrawal","Miscellaneous","adubo3",1,0,"2025-09-02T20:24:35.946Z","","high"
"Bartholomeu Dias","Withdrawal","Miscellaneous","common_portion_goat",2,0,"2025-09-02T20:30:30.839Z","","high"
"Beatriz Power","Deposit","Plants","corn",500,0,"2025-09-02T20:32:52.842Z","","high"
"Bartholomeu Dias","Deposit","Plants","Bulrush",400,0,"2025-09-02T20:34:33.760Z","","high"
"Bartholomeu Dias","Deposit","Plants","corn",40,0,"2025-09-02T20:34:37.331Z","","high"
"Bartholomeu Dias","Deposit","Plants","trigo",20,0,"2025-09-02T20:34:42.315Z","","high"
"Beatriz Power","Deposit","Plants","corn",500,0,"2025-09-02T20:50:16.895Z","","high"
