Worker Name,Transaction Type,Category,Item Name,Quantity,Amount,Timestamp,Message Content,Confidence
"Jizar Stoffeliz","Withdrawal","Plants","trigo",200,0,"2025-09-20T00:08:37.727Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","trigo",50,0,"2025-09-20T00:08:41.701Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","Bulrush",200,0,"2025-09-20T00:08:47.568Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","Bulrush",50,0,"2025-09-20T00:08:51.339Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","corn",200,0,"2025-09-20T00:08:56.575Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","corn",100,0,"2025-09-20T00:09:00.974Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","corn",50,0,"2025-09-20T00:09:05.397Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","corn",200,0,"2025-09-20T00:09:41.287Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","corn",200,0,"2025-09-20T00:09:45.078Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","corn",100,0,"2025-09-20T00:09:48.884Z","","high"
"Jizar Stoffeliz","Withdrawal","Boxes","caixarustica",200,0,"2025-09-20T00:09:56.012Z","","high"
"Jizar Stoffeliz","Withdrawal","Boxes","caixarustica",150,0,"2025-09-20T00:10:00.569Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","Bulrush",200,0,"2025-09-20T00:10:53.737Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","Bulrush",50,0,"2025-09-20T00:11:02.840Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","trigo",200,0,"2025-09-20T00:11:08.299Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","trigo",50,0,"2025-09-20T00:11:12.781Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","corn",150,0,"2025-09-20T00:11:17.634Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","corn",50,0,"2025-09-20T00:11:23.100Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","corn",200,0,"2025-09-20T00:11:59.238Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","corn",200,0,"2025-09-20T00:12:03.254Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","corn",100,0,"2025-09-20T00:12:09.116Z","","high"
"Jizar Stoffeliz","Withdrawal","Plants","Bulrush",200,0,"2025-09-20T00:12:58.638Z","","high"
