Worker Name,Total Transactions,Plants Deposited Types,Plants Taken Types,Boxes Deposited Types,Boxes Taken Types,Money Deposits Count,Money Withdrawals Count,Misc Items Types
"Adalberto Ideal",1,0,0,0,0,0,0,1
"Adhine Kenway",29,3,5,0,0,0,0,0
"Adonis Bezerra",26,2,2,0,0,0,0,4
"Ale Beckham",34,3,3,0,0,0,0,6
"Alexsander Costa",23,2,2,0,0,0,0,6
"Alfredo Bacci",3,0,1,0,0,0,0,2
"Anderson Kurosaki",8,1,0,0,0,0,0,3
"Anisio Lima",12,1,1,0,0,0,0,1
"Bartholomeu Dias",1535,6,6,5,3,28,62,18
"Beatriz Power",120,5,3,1,1,0,0,12
"Biel Silva",21,2,3,0,0,0,0,2
"Blair Camargo",8,1,1,0,0,0,0,5
"Bonnie Bennett",191,6,6,3,2,3,10,13
"Bruno Barbosa",84,3,0,0,0,0,0,11
"Cherokee Bill",63,6,4,1,1,0,0,7
"Chico Bala",17,3,4,0,0,0,0,3
"Chris Rubble",1055,12,12,4,3,3,25,15
"Cirilo Gonza",100,4,4,0,0,0,0,1
"Cliff Dillimore",519,6,6,3,3,22,18,14
"Clint Eastwood",12,2,1,0,0,0,0,2
"Derek Vatore",5,0,1,0,0,0,0,2
"Edw Gallagher",109,4,3,0,0,0,0,7
"Felipe Morgan",146,4,5,0,0,0,0,15
"Florencio Laffon",17,2,2,0,0,0,0,5
"Fulgencio De",175,5,6,1,1,0,0,10
"Gabriel Borges",17,3,1,0,0,0,0,5
"Gabriel Soares",180,4,4,1,2,0,0,14
"Gilberto Juvelino",7,1,0,0,0,0,0,1
"Grace Abbey",30,5,3,0,0,0,0,3
"Graceane Fieldstorm",52,3,2,0,0,0,0,4
"Guilherme Senna",172,6,6,2,3,7,8,9
"Habbi Wills",192,5,6,1,1,0,4,11
"Izzynha Evans",51,2,4,2,3,1,4,2
"Jacob Duncan",39,6,6,1,1,0,4,1
"James Whitford",14,0,2,2,3,0,0,2
"Jesuino Correa",66,4,4,0,1,0,0,11
"Jizar Stoffeliz",690,15,15,4,4,9,10,21
"Joao Malvoro",36,3,2,0,0,0,0,7
"John Weslley",288,4,6,2,3,0,0,4
"Johnny Rocks",711,6,6,2,2,2,2,8
"Jorge Geremy",139,6,3,0,0,0,0,3
"Jubiscleia Gilbert",54,3,3,0,1,0,0,9
"Juca Rabicho",33,4,3,1,1,0,0,7
"Kenai Comanches",2,0,1,0,0,0,0,1
"Koda Smith",521,7,6,1,2,0,0,12
"Lenore Bianchi Bowdin",1,0,0,1,0,0,0,0
"Lenore Bowdin",423,7,4,3,4,12,11,5
"Leonor Salazar",14,2,0,0,0,0,0,0
"Levy Kodak",47,1,2,0,0,0,0,5
"Lincon Stefanelli",29,3,3,0,0,0,0,8
"Lyan Sales",37,4,3,0,0,0,0,3
"Maite Mitchel",28,3,3,0,0,0,0,5
"Marcos Gallagher",17,1,2,0,0,0,0,3
"Miguilio Souzerios",5,0,0,0,0,0,0,5
"Mixel Laffon",59,3,5,0,0,0,0,6
"Nathy Miller",166,6,5,0,0,0,0,15
"Nelio Tavares",73,2,2,0,0,0,0,4
"Nina Vatore",18,2,2,0,0,0,0,3
"Notorius Bowdin",771,7,6,4,4,24,38,20
"Pedro Sabastiao",33,2,2,0,0,0,0,3
"Polly Lima",211,5,6,2,2,4,6,1
"Quase Nada",39,3,3,0,0,0,0,11
"Rick Grimes",44,2,2,0,0,0,0,4
"Robinho Makhachev",1,1,0,0,0,0,0,0
"Saddye Thekid",3,0,0,0,0,0,0,2
"Santiago Bowdin",620,6,18,5,1,6,31,32
"Sasa Pietra",10,2,2,0,0,0,0,3
"Silas Moreau",113,3,3,0,0,0,0,5
"Smith Ramirez",772,6,6,2,4,34,17,12
"Sofia Lua",3,1,1,0,0,0,0,1
"Souzz Ramirez",438,6,6,3,3,8,3,6
"Taylor Summer",110,4,6,2,1,1,6,5
"Thiago Bennett",209,5,6,0,3,0,0,6
"Thomas Shelby",23,1,4,0,0,0,0,6
"Thony Gustav",730,8,8,4,4,22,26,15
"Trigas V",5,1,1,0,0,0,0,1
"Ubirajara Cauamb",25,2,1,0,0,0,0,6
"Unknow Andrade",78,2,2,0,0,0,0,11
"Vitorn Stoffeliz",175,5,6,1,2,0,0,1
"Whilston Chandler",23,3,3,0,0,0,0,4
"Wilian Slow",25,3,3,0,0,0,0,7
"Yuri Westside",11,1,1,0,0,0,0,1
"Zeca Trindade",77,6,4,1,2,1,4,8
